image_path,label
./dataset/nhcd\numerals\3\032_02.jpg,३
./dataset/nhcd\numerals\3\033_01.jpg,३
./dataset/nhcd\numerals\3\033_02.jpg,३
./dataset/nhcd\numerals\3\034_01.jpg,३
./dataset/nhcd\numerals\3\034_02.jpg,३
./dataset/nhcd\numerals\3\036_01.jpg,३
./dataset/nhcd\numerals\3\036_02.jpg,३
./dataset/nhcd\numerals\3\037_01.jpg,३
./dataset/nhcd\numerals\3\037_02.jpg,३
./dataset/nhcd\numerals\3\038_01.jpg,३
./dataset/nhcd\numerals\3\038_02.jpg,३
./dataset/nhcd\numerals\3\039_01.jpg,३
./dataset/nhcd\numerals\3\039_02.jpg,३
./dataset/nhcd\numerals\3\041_01.jpg,३
./dataset/nhcd\numerals\3\041_02.jpg,३
./dataset/nhcd\numerals\3\042_01.jpg,३
./dataset/nhcd\numerals\3\042_02.jpg,३
./dataset/nhcd\numerals\3\043_01.jpg,३
./dataset/nhcd\numerals\3\043_02.jpg,३
./dataset/nhcd\numerals\3\044_01.jpg,३
./dataset/nhcd\numerals\3\044_02.jpg,३
./dataset/nhcd\numerals\3\046_01.jpg,३
./dataset/nhcd\numerals\3\046_02.jpg,३
./dataset/nhcd\numerals\4\001_01.jpg,४
./dataset/nhcd\numerals\4\001_02.jpg,४
./dataset/nhcd\numerals\4\002_01.jpg,४
./dataset/nhcd\numerals\4\002_02.jpg,४
./dataset/nhcd\numerals\4\004_01.jpg,४
./dataset/nhcd\numerals\4\004_02.jpg,४
./dataset/nhcd\numerals\4\006_01.jpg,४
./dataset/nhcd\numerals\4\006_02.jpg,४
./dataset/nhcd\numerals\4\007_01.jpg,४
./dataset/nhcd\numerals\4\007_02.jpg,४
./dataset/nhcd\numerals\4\008_01.jpg,४
./dataset/nhcd\numerals\4\008_02.jpg,४
./dataset/nhcd\numerals\4\010_01.jpg,४
./dataset/nhcd\numerals\4\010_02.jpg,४
./dataset/nhcd\numerals\4\012_01.jpg,४
./dataset/nhcd\numerals\4\012_02.jpg,४
./dataset/nhcd\numerals\4\013_01.jpg,४
./dataset/nhcd\numerals\4\013_02.jpg,४
./dataset/nhcd\numerals\4\014_01.jpg,४
./dataset/nhcd\numerals\4\014_02.jpg,४
./dataset/nhcd\numerals\4\015_01.jpg,४
./dataset/nhcd\numerals\4\015_02.jpg,४
./dataset/nhcd\numerals\4\017_01.jpg,४
./dataset/nhcd\numerals\4\017_02.jpg,४
./dataset/nhcd\numerals\4\018_01.jpg,४
./dataset/nhcd\numerals\4\018_02.jpg,४
./dataset/nhcd\numerals\4\019_01.jpg,४
./dataset/nhcd\numerals\4\019_02.jpg,४
./dataset/nhcd\numerals\4\020_01.jpg,४
./dataset/nhcd\numerals\4\020_02.jpg,४
./dataset/nhcd\numerals\4\022_01.jpg,४
./dataset/nhcd\numerals\4\022_02.jpg,४
./dataset/nhcd\numerals\4\023_01.jpg,४
./dataset/nhcd\numerals\4\023_02.jpg,४
./dataset/nhcd\numerals\4\024_01.jpg,४
./dataset/nhcd\numerals\4\024_02.jpg,४
./dataset/nhcd\numerals\4\025_01.jpg,४
./dataset/nhcd\numerals\4\025_02.jpg,४
./dataset/nhcd\numerals\4\028_01.jpg,४
./dataset/nhcd\numerals\4\028_02.jpg,४
./dataset/nhcd\numerals\4\029_01.jpg,४
./dataset/nhcd\numerals\4\030_01.jpg,४
./dataset/nhcd\numerals\4\030_02.jpg,४
./dataset/nhcd\numerals\4\032_01.jpg,४
./dataset/nhcd\numerals\4\032_02.jpg,४
./dataset/nhcd\numerals\4\033_01.jpg,४
./dataset/nhcd\numerals\4\034_02.jpg,४
./dataset/nhcd\numerals\4\035_01.jpg,४
./dataset/nhcd\numerals\4\035_02.jpg,४
./dataset/nhcd\numerals\4\036_01.jpg,४
./dataset/nhcd\numerals\4\036_02.jpg,४
./dataset/nhcd\numerals\4\037_01.jpg,४
./dataset/nhcd\numerals\4\037_02.jpg,४
./dataset/nhcd\numerals\4\038_01.jpg,४
./dataset/nhcd\numerals\4\039_02.jpg,४
./dataset/nhcd\numerals\4\040_01.jpg,४
./dataset/nhcd\numerals\4\040_02.jpg,४
./dataset/nhcd\numerals\4\041_01.jpg,४
./dataset/nhcd\numerals\4\041_02.jpg,४
./dataset/nhcd\numerals\4\042_01.jpg,४
./dataset/nhcd\numerals\4\042_02.jpg,४
./dataset/nhcd\numerals\4\043_01.jpg,४
./dataset/nhcd\numerals\4\044_02.jpg,४
./dataset/nhcd\numerals\4\045_01.jpg,४
./dataset/nhcd\numerals\4\045_02.jpg,४
./dataset/nhcd\numerals\4\046_01.jpg,४
./dataset/nhcd\numerals\4\046_02.jpg,४
./dataset/nhcd\numerals\5\001_01.jpg,५
./dataset/nhcd\numerals\5\001_02.jpg,५
./dataset/nhcd\numerals\5\002_01.jpg,५
./dataset/nhcd\numerals\5\004_02.jpg,५
./dataset/nhcd\numerals\5\005_01.jpg,५
./dataset/nhcd\numerals\5\005_02.jpg,५
./dataset/nhcd\numerals\5\006_01.jpg,५
./dataset/nhcd\numerals\5\006_02.jpg,५
./dataset/nhcd\numerals\5\007_01.jpg,५
./dataset/nhcd\numerals\5\007_02.jpg,५
./dataset/nhcd\numerals\5\008_01.jpg,५
./dataset/nhcd\numerals\5\010_02.jpg,५
./dataset/nhcd\numerals\5\011_01.jpg,५
./dataset/nhcd\numerals\5\011_02.jpg,५
./dataset/nhcd\numerals\5\012_01.jpg,५
./dataset/nhcd\numerals\5\012_02.jpg,५
./dataset/nhcd\numerals\5\013_01.jpg,५
./dataset/nhcd\numerals\5\013_02.jpg,५
./dataset/nhcd\numerals\5\014_01.jpg,५
./dataset/nhcd\numerals\5\015_02.jpg,५
./dataset/nhcd\numerals\5\016_01.jpg,५
./dataset/nhcd\numerals\5\016_02.jpg,५
./dataset/nhcd\numerals\5\017_01.jpg,५
./dataset/nhcd\numerals\5\017_02.jpg,५
./dataset/nhcd\numerals\5\018_01.jpg,५
./dataset/nhcd\numerals\5\018_02.jpg,५
./dataset/nhcd\numerals\5\019_01.jpg,५
./dataset/nhcd\numerals\5\020_02.jpg,५
./dataset/nhcd\numerals\5\021_01.jpg,५
./dataset/nhcd\numerals\5\021_02.jpg,५
./dataset/nhcd\numerals\5\022_01.jpg,५
./dataset/nhcd\numerals\5\022_02.jpg,५
./dataset/nhcd\numerals\5\023_01.jpg,५
./dataset/nhcd\numerals\5\023_02.jpg,५
./dataset/nhcd\numerals\5\024_01.jpg,५
./dataset/nhcd\numerals\5\025_02.jpg,५
./dataset/nhcd\numerals\5\027_01.jpg,५
./dataset/nhcd\numerals\5\027_02.jpg,५
./dataset/nhcd\numerals\5\028_01.jpg,५
./dataset/nhcd\numerals\5\028_02.jpg,५
./dataset/nhcd\numerals\5\029_01.jpg,५
./dataset/nhcd\numerals\5\030_01.jpg,५
./dataset/nhcd\numerals\5\030_02.jpg,५
./dataset/nhcd\numerals\5\033_01.jpg,५
./dataset/nhcd\numerals\5\033_02.jpg,५
./dataset/nhcd\numerals\5\034_01.jpg,५
./dataset/nhcd\numerals\5\034_02.jpg,५
./dataset/nhcd\numerals\5\035_01.jpg,५
./dataset/nhcd\numerals\5\035_02.jpg,५
./dataset/nhcd\numerals\5\036_01.jpg,५
./dataset/nhcd\numerals\5\036_02.jpg,५
./dataset/nhcd\numerals\5\038_01.jpg,५
./dataset/nhcd\numerals\5\038_02.jpg,५
./dataset/nhcd\numerals\5\039_01.jpg,५
./dataset/nhcd\numerals\5\039_02.jpg,५
./dataset/nhcd\numerals\5\040_01.jpg,५
./dataset/nhcd\numerals\5\040_02.jpg,५
./dataset/nhcd\numerals\5\041_01.jpg,५
./dataset/nhcd\numerals\5\041_02.jpg,५
./dataset/nhcd\numerals\5\043_01.jpg,५
./dataset/nhcd\numerals\5\043_02.jpg,५
./dataset/nhcd\numerals\5\044_01.jpg,५
./dataset/nhcd\numerals\5\044_02.jpg,५
./dataset/nhcd\numerals\5\045_01.jpg,५
./dataset/nhcd\numerals\5\045_02.jpg,५
./dataset/nhcd\numerals\5\046_01.jpg,५
./dataset/nhcd\numerals\5\046_02.jpg,५
./dataset/nhcd\numerals\6\002_01.jpg,६
./dataset/nhcd\numerals\6\002_02.jpg,६
./dataset/nhcd\numerals\6\004_01.jpg,६
./dataset/nhcd\numerals\6\004_02.jpg,६
./dataset/nhcd\numerals\6\005_01.jpg,६
./dataset/nhcd\numerals\6\005_02.jpg,६
./dataset/nhcd\numerals\6\006_01.jpg,६
./dataset/nhcd\numerals\6\006_02.jpg,६
./dataset/nhcd\numerals\6\008_01.jpg,६
./dataset/nhcd\numerals\6\008_02.jpg,६
./dataset/nhcd\numerals\6\010_01.jpg,६
./dataset/nhcd\numerals\6\010_02.jpg,६
./dataset/nhcd\numerals\6\011_01.jpg,६
./dataset/nhcd\numerals\6\011_02.jpg,६
./dataset/nhcd\numerals\6\012_01.jpg,६
./dataset/nhcd\numerals\6\012_02.jpg,६
./dataset/nhcd\numerals\6\014_01.jpg,६
./dataset/nhcd\numerals\6\014_02.jpg,६
./dataset/nhcd\numerals\6\015_01.jpg,६
./dataset/nhcd\numerals\6\015_02.jpg,६
./dataset/nhcd\numerals\6\016_01.jpg,६
./dataset/nhcd\numerals\6\016_02.jpg,६
./dataset/nhcd\numerals\6\017_01.jpg,६
./dataset/nhcd\numerals\6\017_02.jpg,६
./dataset/nhcd\numerals\6\019_01.jpg,६
./dataset/nhcd\numerals\6\019_02.jpg,६
./dataset/nhcd\numerals\6\020_01.jpg,६
./dataset/nhcd\numerals\6\020_02.jpg,६
./dataset/nhcd\numerals\6\021_01.jpg,६
./dataset/nhcd\numerals\6\021_02.jpg,६
./dataset/nhcd\numerals\6\022_01.jpg,६
./dataset/nhcd\numerals\6\022_02.jpg,६
./dataset/nhcd\numerals\6\024_01.jpg,६
./dataset/nhcd\numerals\6\024_02.jpg,६
./dataset/nhcd\numerals\6\025_01.jpg,६
./dataset/nhcd\numerals\6\025_02.jpg,६
./dataset/nhcd\numerals\6\027_01.jpg,६
./dataset/nhcd\numerals\6\027_02.jpg,६
./dataset/nhcd\numerals\6\028_01.jpg,६
./dataset/nhcd\numerals\6\028_02.jpg,६
./dataset/nhcd\numerals\6\030_02.jpg,६
./dataset/nhcd\numerals\6\032_01.jpg,६
./dataset/nhcd\numerals\6\032_02.jpg,६
./dataset/nhcd\numerals\6\033_01.jpg,६
./dataset/nhcd\numerals\6\033_02.jpg,६
./dataset/nhcd\numerals\6\034_01.jpg,६
./dataset/nhcd\numerals\6\034_02.jpg,६
./dataset/nhcd\numerals\6\035_01.jpg,६
./dataset/nhcd\numerals\6\036_02.jpg,६
./dataset/nhcd\numerals\6\037_01.jpg,६
./dataset/nhcd\numerals\6\037_02.jpg,६
./dataset/nhcd\numerals\6\038_01.jpg,६
./dataset/nhcd\numerals\6\038_02.jpg,६
./dataset/nhcd\numerals\6\039_01.jpg,६
./dataset/nhcd\numerals\6\039_02.jpg,६
./dataset/nhcd\numerals\6\040_01.jpg,६
./dataset/nhcd\numerals\6\041_02.jpg,६
./dataset/nhcd\numerals\6\042_01.jpg,६
./dataset/nhcd\numerals\6\042_02.jpg,६
./dataset/nhcd\numerals\6\043_01.jpg,६
./dataset/nhcd\numerals\6\043_02.jpg,६
./dataset/nhcd\numerals\6\044_01.jpg,६
./dataset/nhcd\numerals\6\044_02.jpg,६
./dataset/nhcd\numerals\6\045_01.jpg,६
./dataset/nhcd\numerals\6\046_02.jpg,६
./dataset/nhcd\numerals\7\001_01.jpg,७
./dataset/nhcd\numerals\7\001_02.jpg,७
./dataset/nhcd\numerals\7\002_01.jpg,७
./dataset/nhcd\numerals\7\002_02.jpg,७
./dataset/nhcd\numerals\7\004_01.jpg,७
./dataset/nhcd\numerals\7\004_02.jpg,७
./dataset/nhcd\numerals\7\005_01.jpg,७
./dataset/nhcd\numerals\7\006_02.jpg,७
./dataset/nhcd\numerals\7\007_01.jpg,७
./dataset/nhcd\numerals\7\007_02.jpg,७
./dataset/nhcd\numerals\7\008_01.jpg,७
./dataset/nhcd\numerals\7\008_02.jpg,७
./dataset/nhcd\numerals\7\010_01.jpg,७
./dataset/nhcd\numerals\7\010_02.jpg,७
./dataset/nhcd\numerals\7\011_01.jpg,७
./dataset/nhcd\numerals\7\012_02.jpg,७
./dataset/nhcd\numerals\7\013_01.jpg,७
./dataset/nhcd\numerals\7\013_02.jpg,७
./dataset/nhcd\numerals\7\014_01.jpg,७
./dataset/nhcd\numerals\7\014_02.jpg,७
./dataset/nhcd\numerals\7\015_01.jpg,७
./dataset/nhcd\numerals\7\015_02.jpg,७
./dataset/nhcd\numerals\7\016_01.jpg,७
./dataset/nhcd\numerals\7\017_02.jpg,७
./dataset/nhcd\numerals\7\018_01.jpg,७
./dataset/nhcd\numerals\7\018_02.jpg,७
./dataset/nhcd\numerals\7\019_01.jpg,७
./dataset/nhcd\numerals\7\019_02.jpg,७
./dataset/nhcd\numerals\7\020_01.jpg,७
./dataset/nhcd\numerals\7\020_02.jpg,७
./dataset/nhcd\numerals\7\021_01.jpg,७
./dataset/nhcd\numerals\7\022_02.jpg,७
./dataset/nhcd\numerals\7\023_01.jpg,७
./dataset/nhcd\numerals\7\023_02.jpg,७
./dataset/nhcd\numerals\7\024_01.jpg,७
./dataset/nhcd\numerals\7\024_02.jpg,७
./dataset/nhcd\numerals\7\025_01.jpg,७
./dataset/nhcd\numerals\7\025_02.jpg,७
./dataset/nhcd\numerals\7\027_01.jpg,७
./dataset/nhcd\numerals\7\028_02.jpg,७
./dataset/nhcd\numerals\7\029_01.jpg,७
./dataset/nhcd\numerals\7\030_01.jpg,७
./dataset/nhcd\numerals\7\030_02.jpg,७
./dataset/nhcd\numerals\7\032_01.jpg,७
./dataset/nhcd\numerals\7\032_02.jpg,७
./dataset/nhcd\numerals\7\033_01.jpg,७
./dataset/nhcd\numerals\7\033_02.jpg,७
./dataset/nhcd\numerals\7\035_01.jpg,७
./dataset/nhcd\numerals\7\035_02.jpg,७
./dataset/nhcd\numerals\7\036_01.jpg,७
./dataset/nhcd\numerals\7\036_02.jpg,७
./dataset/nhcd\numerals\7\037_01.jpg,७
./dataset/nhcd\numerals\7\037_02.jpg,७
./dataset/nhcd\numerals\7\038_01.jpg,७
./dataset/nhcd\numerals\7\038_02.jpg,७
./dataset/nhcd\numerals\7\040_01.jpg,७
./dataset/nhcd\numerals\7\040_02.jpg,७
./dataset/nhcd\numerals\7\041_01.jpg,७
./dataset/nhcd\numerals\7\041_02.jpg,७
./dataset/nhcd\numerals\7\042_01.jpg,७
./dataset/nhcd\numerals\7\042_02.jpg,७
./dataset/nhcd\numerals\7\043_01.jpg,७
./dataset/nhcd\numerals\7\043_02.jpg,७
./dataset/nhcd\numerals\7\045_01.jpg,७
./dataset/nhcd\numerals\7\045_02.jpg,७
./dataset/nhcd\numerals\7\046_01.jpg,७
./dataset/nhcd\numerals\7\046_02.jpg,७
./dataset/nhcd\numerals\8\001_01.jpg,८
./dataset/nhcd\numerals\8\001_02.jpg,८
./dataset/nhcd\numerals\8\002_01.jpg,८
./dataset/nhcd\numerals\8\002_02.jpg,८
./dataset/nhcd\numerals\8\005_01.jpg,८
./dataset/nhcd\numerals\8\005_02.jpg,८
